news_001906: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_044887: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_046316: Non, eucDis = 2.6457513110645907
news_046895: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_050946: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_054590: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_055477: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_056232: 英語對你來說是什麼？ 高中女孩跟你不一樣 | 文教新訊 | 文教 | 聯合新聞網, eucDis = 2.6457513110645907
news_057565: Non, eucDis = 2.6457513110645907
news_059253: Non, eucDis = 2.6457513110645907
news_060108: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_060611: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_062415: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_062536: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_063836: 資安產業大逆襲 零壹搶攻資安商機 | 產業綜合 | 產經 | 聯合新聞網, eucDis = 2.6457513110645907
news_064756: 最糾結票數 看柯丁在哪選區最難分難捨 | 台北市長爭霸戰 | 要聞 | 聯合新聞網, eucDis = 2.6457513110645907
news_065049: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_066945: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_068330: Non, eucDis = 2.6457513110645907
news_069060: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_069769: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_070586: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_075079: 罰金？罰鍰？如何判斷是否犯了刑事罪 | 法律前線 | 社會 | 聯合新聞網, eucDis = 2.6457513110645907
news_076403: 補時絕殺逆轉秀狂演 小組賽已高潮不斷 | 世界盃足球賽 | 運動 | 聯合新聞網, eucDis = 2.6457513110645907
news_078734: Non, eucDis = 2.6457513110645907
news_078880: 85度C發聲明支持九二共識 段宜康：可改名叫92度C | 85度C遭指台獨 | 要聞 | 聯合新聞網, eucDis = 2.6457513110645907
news_079209: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_084288: Non, eucDis = 2.6457513110645907
news_084895: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_086161: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_086692: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_087999: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_089304: 空港災變17天：日本關西機場的高效應急與重建 | 世界萬象 | 全球 | 聯合新聞網, eucDis = 2.6457513110645907
news_091196: Non, eucDis = 2.6457513110645907
news_091584: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_092226: 收到最火大的選舉贈品？ 網：比路上發的還糟糕 | 九合一選戰倒數 | 要聞 | 聯合新聞網, eucDis = 2.6457513110645907
news_098504: 上海玉佛禪寺月餅 18日開賣 | 大陸傳真 | 兩岸 | 聯合新聞網, eucDis = 2.6457513110645907
news_045714: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.7133825511493046
news_057519: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.7133825511493046
news_078722: 〈新光三越兒童藝術季〉小丑 - 副刊 - 自由時報電子報, eucDis = 3.382648471789241
news_020788: 大家都有病｜蘋果新聞網｜蘋果日報, eucDis = 3.439229261056986
news_027654: 大家都有病｜蘋果新聞網｜蘋果日報, eucDis = 3.439229261056986
news_030942: 大家都有病｜蘋果新聞網｜蘋果日報, eucDis = 3.439229261056986
news_034099: 大家都有病｜蘋果新聞網｜蘋果日報, eucDis = 3.439229261056986
news_083655: 大家都有病｜蘋果新聞網｜蘋果日報, eucDis = 3.439229261056986
news_087223: 大家都有病｜蘋果新聞網｜蘋果日報, eucDis = 3.439229261056986
news_015998: 宅男宅急便｜蘋果新聞網｜蘋果日報, eucDis = 3.440049597096785
news_018879: 跳蛋與扭蛋 有些愛情很真實｜蘋果新聞網｜蘋果日報, eucDis = 3.440049597096785
news_095790: 跳蛋與扭蛋｜蘋果新聞網｜蘋果日報, eucDis = 3.440049597096785
news_027693: 牛奶人坦白說 年紀到了的相親｜蘋果新聞網｜蘋果日報, eucDis = 3.683588339587873
news_038978: 香港大食佬｜蘋果新聞網｜蘋果日報, eucDis = 4.1807083702360925
news_029333: 蘋果體育粉絲團 蘋果運動超級吧｜蘋果新聞網｜蘋果日報, eucDis = 4.376430170172301
news_031930: 蘋果體育粉絲團 蘋果運動超級吧｜蘋果新聞網｜蘋果日報, eucDis = 4.376430170172301
news_058664: 蘋果體育粉絲團 蘋果運動超級吧｜蘋果新聞網｜蘋果日報, eucDis = 4.376430170172301
news_057652: 蘋果體育粉絲團 蘋果運動超級吧｜蘋果新聞網｜蘋果日報, eucDis = 4.391802438088901
news_065050: 蘋果體育粉絲團 蘋果運動超級吧｜蘋果新聞網｜蘋果日報, eucDis = 4.391802438088901
news_074805: 蘋果體育粉絲團 蘋果運動超級吧｜蘋果新聞網｜蘋果日報, eucDis = 4.391802438088901
news_002903: 高潮一波波｜蘋果新聞網｜蘋果日報, eucDis = 4.513939310674026
news_008594: 腫腫的！身體不說謊！｜蘋果新聞網｜蘋果日報, eucDis = 4.563635283823594
news_009566: MEN'S TALK 頭殼｜蘋果新聞網｜蘋果日報, eucDis = 4.563635283823594
news_010961: MEN'S TALK 頭殼｜蘋果新聞網｜蘋果日報, eucDis = 4.563635283823594
news_062345: 小露｜蘋果新聞網｜蘋果日報, eucDis = 4.641390101641669
news_070420: 小露｜蘋果新聞網｜蘋果日報, eucDis = 4.641390101641669
news_012912: 棉花糖漫畫 - 副刊 - 自由時報電子報, eucDis = 5.033551366623912
news_039004: 2007環花東國際自行車大賽台東─花蓮各組冠軍｜蘋果新聞網｜蘋果日報, eucDis = 5.083948587032014
news_042035: 〈代替愛去旅行〉愛情 - 副刊 - 自由時報電子報, eucDis = 5.272023005556583
news_085358: 玲瓏集｜蘋果新聞網｜蘋果日報, eucDis = 5.408850130845307
news_046739: 翻白眼吧!溫蒂妮小姐。｜蘋果新聞網｜蘋果日報, eucDis = 5.555461531372447
news_012968: MLB 蘋果隨堂考解答｜蘋果新聞網｜蘋果日報, eucDis = 5.661292915146894
news_001658: 波神榜 蘋果舍連莊｜蘋果新聞網｜蘋果日報, eucDis = 5.780535226038291
news_042125: 中國辣妹｜蘋果新聞網｜蘋果日報, eucDis = 5.831010443294195
news_044844: 玲瓏集｜蘋果新聞網｜蘋果日報, eucDis = 5.861712858959137
news_084010: 〈圖文專欄〉黛安的微醺畫語 - 副刊 - 自由時報電子報, eucDis = 5.937673443566349
news_050456: 我愛你愛我｜蘋果新聞網｜蘋果日報, eucDis = 6.021339960112733
news_064387: 我愛你愛我 女業務的絕招：「拍胸」保證｜蘋果新聞網｜蘋果日報, eucDis = 6.021339960112733
news_097592: WHA上演一中攻防 - 焦點新聞 - 旺報, eucDis = 6.618424536214149
news_072111: 楊宗樺晉4｜蘋果新聞網｜蘋果日報, eucDis = 6.680323203636935
news_010684: 想太多｜蘋果新聞網｜蘋果日報, eucDis = 6.97326196421176
news_031978: 備戰季後賽 湖人氣勢旺｜蘋果新聞網｜蘋果日報, eucDis = 7.02402464079707
news_082526: 在台外僑人數越南籍居冠｜蘋果新聞網｜蘋果日報, eucDis = 7.209497213204379
news_065333: 玲瓏集｜蘋果新聞網｜蘋果日報, eucDis = 7.258551768812881
news_004859: 遭控教唆洩密  馬英九：柯建銘轉移焦點 - 社會 - 中央社, eucDis = 7.450944630177373
news_000402: 專家解盤｜蘋果新聞網｜蘋果日報, eucDis = 7.6134640328779195
news_040663: 專家解盤｜蘋果新聞網｜蘋果日報, eucDis = 7.6134640328779195
news_045502: 專家解盤｜蘋果新聞網｜蘋果日報, eucDis = 7.6134640328779195
news_072947: 專家解盤｜蘋果新聞網｜蘋果日報, eucDis = 7.6134640328779195
news_076042: 專家解盤｜蘋果新聞網｜蘋果日報, eucDis = 7.6134640328779195
news_084081: 專家解盤｜蘋果新聞網｜蘋果日報, eucDis = 7.6134640328779195
news_008537: 德甲聯賽 9月23日賽程(台灣時間)｜蘋果新聞網｜蘋果日報, eucDis = 7.621033908540256
news_047808: 德甲聯賽 8月16日賽程(台灣時間)｜蘋果新聞網｜蘋果日報, eucDis = 7.621033908540256
news_050584: 英超聯賽 2月3、4日賽程(台灣時間)｜蘋果新聞網｜蘋果日報, eucDis = 7.621033908540256
news_029084: 玲瓏集｜蘋果新聞網｜蘋果日報, eucDis = 7.73159724276852
news_052018: 悠閒的北極熊日記 - 科技 - app01, eucDis = 7.740474554381574
news_052117: 65歲以上國人佔總人口數9.9%｜蘋果新聞網｜蘋果日報, eucDis = 7.8090749015613685
news_008521: 去年629頭豬染沙氏桿菌死｜蘋果新聞網｜蘋果日報, eucDis = 7.871838114248835
news_029950: 絕對小孩2｜蘋果新聞網｜蘋果日報, eucDis = 7.875387269366219
news_098786: 香港六合 04-001期拖牌公佈欄｜蘋果新聞網｜蘋果日報, eucDis = 7.907007337530111
news_029125: 美國本周重要經濟數據預覽｜蘋果新聞網｜蘋果日報, eucDis = 7.946933567137242
news_063733: 男人搞不懂的事｜蘋果新聞網｜蘋果日報, eucDis = 7.958963444718281
news_011873: 男人搞不懂的事｜蘋果新聞網｜蘋果日報, eucDis = 7.972218226815648
news_050061: 想太多｜蘋果新聞網｜蘋果日報, eucDis = 7.979674295789287
news_075623: 自用小客車女駕駛比率逐年上升｜蘋果新聞網｜蘋果日報, eucDis = 8.079348736639924
news_084144: 九十六學年度指定科目考試試場分配表｜蘋果新聞網｜蘋果日報, eucDis = 8.086204233379945
news_003236: PGA─加拿大公開賽第3回合戰績表｜蘋果新聞網｜蘋果日報, eucDis = 8.238740269552055
news_028537: 日巡賽─Sankyo女子高球賽｜蘋果新聞網｜蘋果日報, eucDis = 8.238740269552055
news_062084: 玲瓏集｜蘋果新聞網｜蘋果日報, eucDis = 8.39115658636108
news_086923: 男人搞不懂的事｜蘋果新聞網｜蘋果日報, eucDis = 8.43429610286143
news_033386: 男人搞不懂的事｜蘋果新聞網｜蘋果日報, eucDis = 8.44933161350062
news_003550: 奧運女籃賭盤｜蘋果新聞網｜蘋果日報, eucDis = 8.614446444241432
news_061773: 大家來找碴｜蘋果新聞網｜蘋果日報, eucDis = 8.7380534164835
news_069641: 蘋果遊戲王今天解答｜蘋果新聞網｜蘋果日報, eucDis = 8.772354154999869
news_096255: 旅美星鮮事｜蘋果新聞網｜蘋果日報, eucDis = 8.776651683863076
news_061628: 〈圖文專欄〉100封情書 - 副刊 - 自由時報電子報, eucDis = 8.829457986955145
news_007799: 英超戰績表｜蘋果新聞網｜蘋果日報, eucDis = 9.023955842600396
news_028420: 英超戰績表｜蘋果新聞網｜蘋果日報, eucDis = 9.023955842600396
news_032646: 英超戰績表｜蘋果新聞網｜蘋果日報, eucDis = 9.023955842600396
news_035029: 台股失守7000 2年新低｜蘋果新聞網｜蘋果日報, eucDis = 9.023955842600396
news_063651: 西甲戰績表｜蘋果新聞網｜蘋果日報, eucDis = 9.023955842600396
news_076125: 黑色愛情男女 最想付出的事｜蘋果新聞網｜蘋果日報, eucDis = 9.060643325296633
news_008120: 地方掃描－南投鳳荔節 將在廿二日豋場 - 地方新聞 - 中國時報, eucDis = 9.075887086754522
news_064061: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 9.08701480821055
news_044813: 夏季籃球聯賽 台銀95：77擊敗台啤 - 體育 - 中時 , eucDis = 9.108872319321366
news_024882: 第四屆林榮三文學獎 - 副刊 - 自由時報電子報, eucDis = 9.180104870297598
news_085017: 本屆亞運奪牌獎金一覽表｜蘋果新聞網｜蘋果日報, eucDis = 9.218128485270777
news_058860: 《第二國度 白色聖灰的女王》音樂大師久石讓加持｜蘋果新聞網｜蘋果日報, eucDis = 9.363974411987709
news_066948: 男人搞不懂的事｜蘋果新聞網｜蘋果日報, eucDis = 9.401616956727825
news_058051: 老夫子 苦樂不均｜蘋果新聞網｜蘋果日報, eucDis = 9.407381653474015
news_054323: 男人搞不懂的事｜蘋果新聞網｜蘋果日報, eucDis = 9.418631636065722
news_055141: 許維恩擔任名士錶一日店長 - 娛樂 - 中時 , eucDis = 9.51839508406796
news_006192: 台灣地區天氣｜蘋果新聞網｜蘋果日報, eucDis = 9.560583628952648
news_027190: 台灣地區今日天氣｜蘋果新聞網｜蘋果日報, eucDis = 9.560583628952648
news_030210: 台灣地區今日天氣｜蘋果新聞網｜蘋果日報, eucDis = 9.560583628952648
news_046377: 台灣地區今日天氣｜蘋果新聞網｜蘋果日報, eucDis = 9.560583628952648
news_055081: 台灣地區今日天氣｜蘋果新聞網｜蘋果日報, eucDis = 9.560583628952648
news_056417: 台灣地區今日天氣｜蘋果新聞網｜蘋果日報, eucDis = 9.560583628952648
news_058933: 台灣地區今日天氣｜蘋果新聞網｜蘋果日報, eucDis = 9.560583628952648
news_070968: 台灣地區今日天氣｜蘋果新聞網｜蘋果日報, eucDis = 9.560583628952648
news_078595: 台灣地區今日天氣｜蘋果新聞網｜蘋果日報, eucDis = 9.560583628952648
news_096083: 台灣地區天氣｜蘋果新聞網｜蘋果日報, eucDis = 9.560583628952648
news_099567: 台灣地區今日天氣｜蘋果新聞網｜蘋果日報, eucDis = 9.560583628952648
news_061357: 北市去年1.4萬對新人結婚｜蘋果新聞網｜蘋果日報, eucDis = 9.616280456758018
news_010735: BLUE聲色 性福優選｜蘋果新聞網｜蘋果日報, eucDis = 9.633914703163143
news_028401: 姓男生，姓女生 相見恨早｜蘋果新聞網｜蘋果日報, eucDis = 9.65220956810969
news_052920: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 9.668460475076667
news_003655: 老夫子 ｜蘋果新聞網｜蘋果日報, eucDis = 9.708657141379037
news_009683: 老夫子 假仁慈｜蘋果新聞網｜蘋果日報, eucDis = 9.708657141379037
news_017348: 老夫子 樂極生悲｜蘋果新聞網｜蘋果日報, eucDis = 9.708657141379037
news_026401: 老夫子 寒毛盡戴｜蘋果新聞網｜蘋果日報, eucDis = 9.708657141379037
news_066219: 老夫子 估錯方向｜蘋果新聞網｜蘋果日報, eucDis = 9.708657141379037
news_066491: 老夫子 何足掛齒｜蘋果新聞網｜蘋果日報, eucDis = 9.708657141379037
news_072194: 老夫子 心不在焉｜蘋果新聞網｜蘋果日報, eucDis = 9.708657141379037
news_073911: 老夫子｜蘋果新聞網｜蘋果日報, eucDis = 9.708657141379037
news_097277: 老夫子搞怪新風貌 道高一丈｜蘋果新聞網｜蘋果日報, eucDis = 9.708657141379037
news_098122: 老夫子 奇蹟｜蘋果新聞網｜蘋果日報, eucDis = 9.708657141379037
news_038717: 最新世界高爾夫排名｜蘋果新聞網｜蘋果日報, eucDis = 9.710866641744863
news_042711: 王建民出賽專區｜蘋果新聞網｜蘋果日報, eucDis = 9.777580529205572
news_003514: 老夫子 搞怪新風貌 誇大其辭｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_030150: 老夫子 搞怪新風貌 百上加斤｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_042633: 老夫子 搞怪新風貌 登峰造極｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_043861: 老夫子 搞怪新風貌 分心｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_044280: 老夫子搞怪新風貌 陷阱｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_045079: 老夫子 搞怪新風貌 放錯方向｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_050046: 隱藏遊戲｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_056158: 老夫子 搞怪新風貌 井井有條｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_060690: 老夫子 搞怪新風貌 不可理喻｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_062133: 老夫子 搞怪新風貌 釣美人魚｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_067539: 老夫子 搞怪新風貌 香味四溢｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_076222: 老夫子 搞怪新風貌 還原｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_083895: 老夫子 搞怪新風貌 淨重｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_087929: 老夫子 搞怪新風貌 技術不靈｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_089251: 老夫子搞怪新風貌 關燈｜蘋果新聞網｜蘋果日報, eucDis = 9.798125654976651
news_061614: 森巴世界盃賽程 6月18日(台灣時間)｜蘋果新聞網｜蘋果日報, eucDis = 9.815708361154789
news_083165: 哥倫比亞2比1勝象牙海岸 穩坐C組龍頭｜蘋果新聞網｜蘋果日報, eucDis = 9.815708361154789
news_016161: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 9.851428684576474
news_069239: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 9.851428684576474
news_031156: 時光放映室｜蘋果新聞網｜蘋果日報, eucDis = 9.897248091495477
news_064901: 日巡賽(男子)─王冠盃(Th Crowns)高球賽第3回合戰績表｜蘋果新聞網｜蘋果日報, eucDis = 9.910132338198656
news_054659: 小啟： - 副刊 - 自由時報電子報, eucDis = 9.947695999512852
news_097189: 東京股市初段升近1％ - 財經 - 中廣, eucDis = 9.950385437457893
news_039565: 企業5年甲級男排企業聯賽戰績賽程表｜蘋果新聞網｜蘋果日報, eucDis = 9.981449809366206
news_018586: 今日漫畫 - 上班週記 - 副刊 - 自由時報電子報, eucDis = 10.011616610219106
news_034364: 今日漫畫 - 上班週記 - 副刊 - 自由時報電子報, eucDis = 10.011616610219106
news_049528: 今日漫畫 - 上班週記 - 副刊 - 自由時報電子報, eucDis = 10.011616610219106
news_054117: 今日漫畫 - 上班週記 - 副刊 - 自由時報電子報, eucDis = 10.011616610219106
news_075715: 今日漫畫 - 上班週記 - 副刊 - 自由時報電子報, eucDis = 10.011616610219106
news_086529: 今日漫畫 - 上班週記 - 副刊 - 自由時報電子報, eucDis = 10.011616610219106
news_023882: 咬一口超萌壽司 - 科技 - app01, eucDis = 10.043816360139687
news_073853: 日職兩聯盟戰績排名｜蘋果新聞網｜蘋果日報, eucDis = 10.07447787728251
news_002864: 樂子漫畫〈上班好好玩〉 - 副刊 - 自由時報電子報, eucDis = 10.115499398870174
news_067383: 華語排行榜｜蘋果新聞網｜蘋果日報, eucDis = 10.117319089873877
news_083025: 第3關 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 10.168900179766181
news_099814: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 10.168900179766181
news_089061: 第２關 猜名人｜蘋果新聞網｜蘋果日報, eucDis = 10.18365731421894
news_045972: 衛星都市房價補漲｜蘋果地產｜蘋果新聞網｜蘋果日報, eucDis = 10.186356812974578
news_055462: 2007年世界盃女足賽積分｜蘋果新聞網｜蘋果日報, eucDis = 10.191007817026632
news_008762: 去年投遞包裹1266.8萬件｜蘋果新聞網｜蘋果日報, eucDis = 10.21868452737939
news_033689: 還有一件事 最好的把妹時機｜蘋果新聞網｜蘋果日報, eucDis = 10.262517638101489
news_044891: 大家來找碴｜蘋果新聞網｜蘋果日報, eucDis = 10.277897016006115
news_000155: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 10.27801040828503
news_017508: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 10.27801040828503
news_030012: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 10.27801040828503
news_032180: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 10.27801040828503
news_033191: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 10.27801040828503
news_054615: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 10.27801040828503
news_062777: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 10.27801040828503
news_080047: 〈少女小詩〉戴藍色羽毛帽的小姐 - 副刊 - 自由時報電子報, eucDis = 10.284098237530392
news_050742: 英超聯賽｜蘋果新聞網｜蘋果日報, eucDis = 10.338685089518059
news_083026: 楊乃文「ZERO」LIVE 演唱會 熱滾滾 - 娛樂 - 中時 , eucDis = 10.378525827777741
news_012054: 〈Nn的異想花園〉蒲公英的愛 - 副刊 - 自由時報電子報, eucDis = 10.417778496976657
news_043225: 健保重大傷病免醫療負擔者 癌症佔43.9%｜蘋果新聞網｜蘋果日報, eucDis = 10.43686922041682
news_051148: 寂寞很簡單》黑白 - 副刊 - 自由時報電子報, eucDis = 10.442737121756021
news_044563: 鬼門開 屍憶今首映 - 娛樂 - 中時 , eucDis = 10.448481988753246
news_053922: 江蕙演唱會 - 娛樂 - 中時 , eucDis = 10.449697686069305
news_048035: SBL今日賽程｜蘋果新聞網｜蘋果日報, eucDis = 10.481188929331998
news_056974: 瑞典維持利率不變 - 國際 - 中廣, eucDis = 10.503429171712149
news_036647: 今彩539第107201期開獎 | 生活新聞 | 生活 | 聯合新聞網, eucDis = 10.507721131713751
news_070470: 台北羽球公開賽 戴資穎挺進16強 - 體育 - 中時 , eucDis = 10.515101682792025
news_040477: 日職昨日戰績｜蘋果新聞網｜蘋果日報, eucDis = 10.580391466773603
news_095634: Non, eucDis = 10.585796372919148
news_016029: 熱門順口溜｜蘋果新聞網｜蘋果日報, eucDis = 10.637692371806123
news_025762: 蘋果盤口 4月25日｜蘋果新聞網｜蘋果日報, eucDis = 10.667206857151507
news_026604: 生活情報•四通八達•面面俱到｜蘋果新聞網｜蘋果日報, eucDis = 10.763621252610614
news_095815: 時光放映室｜蘋果新聞網｜蘋果日報, eucDis = 10.820086524870021
news_051043: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 10.827115857819782
news_043396: SBL今日賽程  WSBL對戰得分表｜蘋果新聞網｜蘋果日報, eucDis = 10.84430668542297
news_032727: 時光．放映室｜蘋果新聞網｜蘋果日報, eucDis = 10.949491956908913
news_032119: 2007世界盃女足賽8強對戰圖｜蘋果新聞網｜蘋果日報, eucDis = 10.973403490575171
news_050227: JLPGA理光盃(Rco Cup)女子高球賽第3回合戰績表｜蘋果新聞網｜蘋果日報, eucDis = 11.03404351973327
news_080445: Non, eucDis = 11.073125156254328
news_066290: 雙贏彩第107076期開獎 | 生活新聞 | 生活 | 聯合新聞網, eucDis = 11.142817140259883
news_072801: 〈Nn的異想花園〉愛情丑角 - 副刊 - 自由時報電子報, eucDis = 11.144368983345963
news_061170: 旅美星鮮事｜蘋果新聞網｜蘋果日報, eucDis = 11.15366297515579
news_079686: 旅美星鮮事 林哲瑄外野先發敲雙安 張進德本季首轟｜蘋果新聞網｜蘋果日報, eucDis = 11.15366297515579
news_010531: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 11.218311892642204
news_065754: 姓男生，姓女生 謝謝殺千刀的｜蘋果新聞網｜蘋果日報, eucDis = 11.244184715392635
news_024381: 〈少女畫報〉辮子妹妹 - 副刊 - 自由時報電子報, eucDis = 11.296820576016234
news_094457: 黑色愛情男女 寂寞喧嘩｜蘋果新聞網｜蘋果日報, eucDis = 11.326044197081806
news_022623: 今彩539開獎 - 財經 - 中央社, eucDis = 11.32956211390972
news_020377: 旅美星鮮事｜蘋果新聞網｜蘋果日報, eucDis = 11.39344594026942
